University,Country,City,Region,Logo,Link,Type,Size,Faculty_count,International_Students,Students_count,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Latitude,Longitude
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Pakistan,Islamabad,Asia,https://www.topuniversities.com/sites/default/files/pakistan-institute-of-engineering-and-applied-sciences-pieas_592560cf2aeae70239af532f_small.jpg,https://www.topuniversities.com/universities/pakistan-institute-engineering-applied-sciences-pieas,Public,S,180,475,1080,0,0,397,375,373,399,,
University of the Philippines,Philippines,Quezon City,Asia,https://www.topuniversities.com/sites/default/files/university-of-the-philippines_498_small.jpg,https://www.topuniversities.com/universities/university-philippines,Public,XL,4,292,36,373,367,384,355,396,400,,
Indian Institute of Technology Roorkee (IITR),India,Roorkee,Asia,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-roorkee-iitr_287_small.jpg,https://www.topuniversities.com/universities/indian-institute-technology-roorkee-iitr,Public,M,499,202,8483,398,432,381,383,383,401,,
Universidad Austral,Argentina,Pilar,Latin America,https://www.topuniversities.com/sites/default/files/universidad-austral_38_small.jpg,https://www.topuniversities.com/universities/universidad-austral,Private,S,663,334,4641,308,331,367,400,443,401,,
Vilnius University ,Lithuania,Vilnius,Europe,https://www.topuniversities.com/sites/default/files/vilnius-university-_592560cf2aeae70239af4d7f_small.jpg,https://www.topuniversities.com/universities/vilnius-university,Public,L,2,1,14,482,401,488,457,423,401,,
Czech Technical University in Prague,Czech Republic,Prague,Europe,https://www.topuniversities.com/sites/default/files/czech-technical-university-in-prague_592560cf2aeae70239af4d3b_small.jpg,https://www.topuniversities.com/universities/czech-technical-university-prague,Public,L,3,3,18,502,492,532,497,432,404,,
Shandong University,China (Mainland),Jinan,Asia,https://www.topuniversities.com/sites/default/files/shandong-university_555_small.jpg,https://www.topuniversities.com/universities/shandong-university,Public,XL,3,2,39,502,551,543,467,485,404,,
"University of California, Riverside",United States,Riverside,North America,https://www.topuniversities.com/sites/default/files/university-of-california-riverside_88_small.jpg,https://www.topuniversities.com/universities/university-california-riverside,Public,L,1,2,17,271,323,384,453,449,404,33.97395461,-117.3280644
Flinders University,Australia,Adelaide,Oceania,https://www.topuniversities.com/sites/default/files/flinders-university_592560cf2aeae70239af4b53_small.jpg,https://www.topuniversities.com/universities/flinders-university,Public,L,932,6,16776,550,551,478,423,423,407,-35.02440276,138.570037
South China University of Technology,China (Mainland),Guangzhou,Asia,https://www.topuniversities.com/sites/default/files/south-china-university-of-technology_887_small.jpg,https://www.topuniversities.com/universities/south-china-university-technology,Public,XL,3,2,42,550,551,543,479,462,407,,
Taipei Medical University (TMU),Taiwan,Taipei City,Asia,https://www.topuniversities.com/sites/default/files/taipei-medical-university_2134_small.jpg,https://www.topuniversities.com/universities/taipei-medical-university-tmu,Private,M,999,614,5994,402,398,362,379,387,407,,
Xiamen University,China (Mainland),Xiamen,Asia,https://www.topuniversities.com/sites/default/files/xiamen-university_891_small.jpg,https://www.topuniversities.com/universities/xiamen-university,Public,XL,3,1,36,452,432,476,450,432,407,,
Westfälische Wilhelms-Universität Münster ,Germany,Münster,Europe,https://www.topuniversities.com/sites/default/files/westflische-wilhelms-universitt-mnster_421_small.jpg,https://www.topuniversities.com/universities/westfalische-wilhelms-universitat-munster,Public,XL,4,3,40,294,308,329,346,357,411,,
National Sun Yat-sen University,Taiwan,Kaohsiung City,Asia,https://www.topuniversities.com/sites/default/files/national-sun-yat-sen-university_439_small.jpg,https://www.topuniversities.com/universities/national-sun-yat-sen-university,Public,M,735,757,8085,394,388,402,410,416,412,,
